Name,Discount_price,Old_price,Rating_stars
Multi-use PC Practical Shock-proof Phone Case Full Cover Phone Protector For IPhone 13 Mini/13/13 Pro/13 Pro Max-White,"₦ 13,000",,No rating
Multi-use PC Practical Shock-proof Phone Case Full Cover Phone Protector For IPhone 13 Mini/13/13 Pro/13 Pro Max-White,"₦ 13,000",,No rating
Y30 Bluetooth Wireless Earphone Earbuds For Samsung IPhone Apple Xiaomi Huawei Vivo IOS/Android-Black,"₦ 12,582",,No rating
Faraday Bag for Laptops Techsafe Faraday Bag Fireproof Rfid Signal,"₦ 5,989 - ₦ 24,915",,No rating
Omron  Armband CR24 Universal Sphygmomanometer Accessories,"₦ 73,891",,No rating
Y30 Cheap Stereo TWS Wireless 5.0 Bluetooth Inear Earbuds,"₦ 11,611",,No rating
"360° Rotating Display Turntable For Watch, Shoe, Mannequin, Phones","₦ 68,811",,No rating
Sport Armband Phone Holder  Pouch Bag,"₦ 3,876",,No rating
Phone Lens Film Cover Antiscratch High Clarity Selfadhesive Smart Phone Rear Lens Ultrathin Tempered Film For IPhone 13 Mini13 Maxfor 13 Pro13 Pro Max,₦ 956,,No rating
Phone Protective Case Anti-impact Anti-scratch Lightweight Adorable Folding Rabbit Ear Solid Color Back Shell For IPhone 11 Pro Max/11 Pro/11/XS Max/XR/X/XS/12/12 Pro/12 Pro Max-Black,"₦ 12,578",,No rating
