Name,Discount_price,Old_price,Rating_stars
"Plug&Play K8 Wireless Lavalier Microphone For IPhone Lapel Clip-on Mini Wireless Mic For TikTok Vlog YouTube Facebook Live Stream, Auto-syncs Microphone (NO APP Or Bluetooth)","₦ 18,000",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 47,800",,No rating
Oraimo Smart Clipper 2 Professional  Cordless Hair Clipper,"₦ 47,700",,No rating
Digital Display NFC Adapter Bluetooth,"₦ 35,500",,No rating
Lightning To Audio USB 3 Adapter 5 In1,"₦ 40,000",,No rating
K9 Lavalier K9 TypeC+iphone+Micro Android Wireless Microphone-Dual,"₦ 22,000",,No rating
Wireless 3.5MM Microphone For Android,"₦ 13,000",,No rating
WOTOBE 156W GaN Charger USB-C Power Adapter,"₦ 145,299",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
2pin 20w Type C Iphone Fast Charger Adapter(HEAD),"₦ 5,500",,No rating
K9 Dual 3 In 1 Wireless Lavalier Microphone For IPhone & Type C,"₦ 19,000",,No rating
K9 Lavalier K9 TypeC+iphone+Micro Android Wireless Microphone-Dual,"₦ 22,000",,No rating
K9 Lavalier K9 TypeC+iphone+Micro Android Wireless Microphone-Dual,"₦ 23,999",,No rating
New Age Turbo Ultra 8 22500mA Fast Charge Power Bank,"₦ 18,999",,No rating
itel 20000mAh Dual Output Fast Charging Power Bank,"₦ 18,999",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
10 Port 3.0 High Speed USB Splitter Expansion For Laptop,"₦ 7,800",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
High Speed USB Adapter With Port HUB Splitter 3.0-White,"₦ 4,700",,No rating
K9 35W Type C fast charger for iPhone 14/13/12/11/XR/pro max ,"₦ 11,000",,No rating
Onten  Otn-132 2-in-1 Lightning to Audio with Qc Charging Adapter,"₦ 20,990",,No rating
Google 30W USB-C - Fast Charging Pixel Phone Charger,"₦ 12,000",,No rating
Micro USB 2.0 To USB 2.0 Adapter With OTG Function(White),₦ 497,,4.6
USB-C / Type-C To USB 2.0 OTG Plastic Adapter,₦ 430,,No rating
D-188 3 In 1 TF & USB To Micro USB & Type-C Card Reader OTG Adapter Connector(White),"₦ 7,500",,3.9
USB 2.0 To USB 2.0 Adapter With OTG Function,₦ 380,,4
2 In 1 Type-C To Audio 3.5mm Headphone Jack-Rose Gold,"₦ 1,904",,1
Type-C Female To USB 2.0 Male Aluminum Alloy Adapter Data,"₦ 1,600",,4.3
2 In 1 IPhone  Dual Lightning  Jack AUX Audio And Charge,"₦ 3,180",,No rating
Mini Mobile Phone Type-C Male To USB Female OTG-White,₦ 471,,No rating
"For Samsung, Sony, Meizu, Xiaomi, And Other Smartphones",₦ 930,,No rating
For Xiaomi 33W 67W 120W Turbo Fast Charger For Mi 12 11 10,"₦ 59,340",,No rating
LCD Screen and Digitizer Fullembly with Frame for BlackBerry Z10 4GWhite,"₦ 47,613",,No rating
Wireless Wifi HDMICompatible Video Adapter Display Dongle,"₦ 51,095",,No rating
Usb Charging Cable For Sony Ericsson W715 W715i W760 W760i W800 W800i W810 W810i W830 W830i W850 W850i W880 W880i W888 W890cableUK PLUG,"₦ 108,684",,No rating
Ldnio Desktop Fast Charger 2 USB A With 2 Type-c 65w 4ports,"₦ 49,000",,No rating
Anker 735 Charger (GaNPrime 65W),"₦ 75,600",,No rating
Computer Bluetooth Adapter 5.0 USB Desktop Dongle WiFi Audio Receiver Transmitter,"₦ 4,310",,No rating
Anker 735 Charger GaNPrime 65W,"₦ 81,887",,No rating
Ulefone Power Armor 13 Official Charger USB Cable Charge,"₦ 86,740",,No rating
2.0 Type C 3.5mm OTG Adapter Cable 3 In 1 Sound Card,"₦ 98,684",,No rating
USB 2.0 To Fastport Battery Charger Data Sync Cable for Sony Ericsson W600i,"₦ 37,871",,No rating
Anker 735 Charger (GaNPrime 65W),"₦ 74,250",,No rating
Ipartsbuy for Samsung Galaxy J5 (2016) / J510 Battery Back Cover(Black),"₦ 22,950",,No rating
TypeC OTG Adapter Cable USB 3.1 Type C Male To USB 3.0 A Female OTG Data Cord Adapter 16CM For Universal TypeC Interface Phone6,"₦ 40,634",,No rating
itel Star 20000mah Fast Charging,"₦ 25,000",,No rating
2 IN 1 Headphone Splitter For IPhone 13 12 Pro Max 11 Aux Jack Headphone For Lightning 3.5 Mm To Audio Adapter Earphone Cable-3 5mm Jack,"₦ 33,900",,No rating
Oraimo  Android / Power Bank USB Female Fast Charging CABLE 0020,"₦ 4,999",,No rating
OTG Type-C Android USB SD Card Reader Adapter Set,"₦ 2,493",,No rating
2 In 1 OTG Adapter USB 3.0 Female To Micro USB Male And USB C Male Connector Aluminum Alloy On The Go Converter5,"₦ 58,844",,No rating
TsdTech Fast Charger + Android Micro USB Cable,"₦ 29,400",,No rating
128TB 64TB 32TB 16TB 8TB High Speed Mobile External Hard Drive SSD USB3.1,"₦ 77,976",,No rating
