Name,Discount_price,Old_price,Rating_stars
Samsung 65 Inch Premium Crystal UHD Smart Ultra High Definition HDR+ 4K TV,"₦ 1,287,000","₦ 1,900,000",No rating
110V-240V 15W LCD DVD Player Compact Multi Region Video HDMI CD USB 3.0 + Remote,"₦ 83,778","₦ 167,555",No rating
Royal 43 Inches 4k UHD Smart TV RTV43G7W,"₦ 409,000","₦ 438,300",4
Samsung 65inch CRYSTAL UHD 4K SMART TV  2023 MODEL,"₦ 1,190,000",No old_price,No rating
"Vision 55""INCHES FULL HD SMART TV VISION","₦ 453,990","₦ 1,250,000",1
"Nexus 43 INCHES UHD SMART NETFLIX, YOUTUBE TELEVISION","₦ 349,000","₦ 399,800",5
TCL 55''UHD 4K SMART TV  +12 Months Warranty,"₦ 550,500","₦ 780,000",5
Samsung 32 Inch Class HDR HD Smart LED TV.,"₦ 300,000","₦ 385,000",4.3
"UFC 43 Inch FRAMELESS Smart TV+Netflix, YouTube +wall Hanger","₦ 319,290","₦ 390,000",4.6
"Hisense 43"" LED Full HD Smart TV, Wifi  + W/Bracket","₦ 359,000","₦ 460,000",No rating
Google Chromecast With Google TV - Streaming Entertainment In 4K,"₦ 121,500",No old_price,4.9
"Hisense 75"" Inches QLED 4K Smart TV Netflix, Youtube","₦ 1,780,000","₦ 1,900,000",No rating
Samsung 55 Inch UHD Flat Slim Smart LED 4k Tv- Black,"₦ 850,000","₦ 1,900,000",5
Hisense 55 Inches Smart 4K UHD TV + Free Wall Bracket- 55,"₦ 686,400","₦ 799,000",4.7
Hikers 32'' Digital Frameless HD TV - Black ( 1YR WRTY ).,"₦ 100,000,000",No old_price,No rating
Century 32 Inch Full HD LED TV,"₦ 137,500","₦ 225,000",4.6
Polystar 55 INCH Android Smart 4K Uhd HD TV,"₦ 528,000","₦ 690,000",5
"Sonix 43"" INCHES SMART 4K TV + Wall Bracket PROMO PRICE","₦ 220,850","₦ 325,000",No rating
Chromecast TV Streaming Device,"₦ 19,800",No old_price,No rating
Hikers 32'' Inches Frameless HD LED TV-Black,"₦ 122,920","₦ 158,040",No rating
Govee Dreamview Smart LED TV Backlight - 75-85 Inch,"₦ 269,900","₦ 289,900",No rating
"TCL 43"" Google Android FHD Smart TV","₦ 369,800","₦ 399,000",3.9
Samsung 55 Inch UHD Flat Ultra Slim 4K Smart TV,"₦ 750,000",No old_price,No rating
Energy 40”INCHE LED TV WITH 1YEAR Warranty Promo Price,"₦ 198,990","₦ 1,180,990",No rating
Bluetooth Earbuds With 3000mah Inbuilt Power Bank,"₦ 8,000 - ₦ 9,500","₦ 10,000",No rating
Free To Air Digital Satellite Channels Tiger Decoder,"₦ 30,000","₦ 30,100",No rating
Century 43 Inch Smart TV 2K FHD (CTV-43A) + 1 YEAR WARRANTY,"₦ 280,000",No old_price,No rating
Hisense HISENSETWIN TUB WACHING MACHINE WM=WSPA503,"₦ 191,400",No old_price,No rating
TCL 65 Inch Ultra HD (4K) QLED Smart Google TV,"₦ 999,000","₦ 1,700,000",5
Polystar 32'' Smart FHD TV,"₦ 173,990",No old_price,No rating
Solid Qulity Portable DVD Player DVD-2608,"₦ 45,000","₦ 47,000",No rating
4k Streaming Stick FireStick Amazon,"₦ 90,000","₦ 95,000",No rating
"Hisense 65''Smart UHD 4K TV+Netflix,Youtube,Prime Video APP","₦ 877,000","₦ 990,000",No rating
Polystar 24 Inch LED Television,"₦ 89,999",No old_price,No rating
"TCL 65"" Class Ultra HD 4K HDR  QLED Smart Google TV -C655","₦ 1,200,000","₦ 2,400,000",No rating
Hisense 40''Smart TV + Netflix&Youtube APP 12 Months Warranty-,"₦ 335,500","₦ 349,000",4.5
"LG 55''UHD, 4K Smart, AV, 3 HDMI, 2 USB,2022 MODEL","₦ 750,000","₦ 948,500",4
"Rock 43"" 4K ULTRA HD SMART LED TV + FREE WALL BRACKET","₦ 229,770","₦ 285,599",1
Royal 43 Inches 4k UHD Smart TV RTV43G7W,"₦ 390,000","₦ 427,500",No rating
