Name,Discount_price,Actual_price,Rating_stars
Ulanzi ST-06S Portable 360° Rotation Tripod Phone Mount Holder,"₦ 7,360","₦ 13,250",4.4
Ace Elec MAGSAFE 5000mAh 5W Wireless Charging -Magnetic Power Ban-k,"₦ 8,500","₦ 25,000",3.6
XIAOMI Redmi Buds 6 Active - Black,"₦ 24,395","₦ 50,000",4.5
XIAOMI Redmi 14C 6.88'' 6GB RAM/128GB ROM Android 14 - Sage Green,"₦ 155,320","₦ 350,000",5
BT5.0 Wireless Headphones Cute Cat Ears HIFI Stereo Foldable,"₦ 9,410","₦ 17,880",3.8
"Tecno CAMON 30 6.78"" 8GB RAM/256GB ROM Android 14 - Dark","₦ 331,855","₦ 390,000",4.7
Wireless Bluetooth Headphones On-Ear Headset - Black & Red,"₦ 9,560","₦ 12,843",4
Wireless Headphones HiFi Stereo Music Headphones-Pro60,"₦ 7,600","₦ 12,999",4.1
Wireless Headphones HiFi Stereo Music Headphones-Pro60,"₦ 7,600","₦ 12,999",4.1
"Tecno Pop 9 6.67"" 3GB RAM /64GB ROM Android 14 - White","₦ 123,092","₦ 123,095",4.1
itel 2.4A Fast Charger With Free Fast Cable - White,"₦ 3,990","₦ 5,000",4.2
"Poco C61 6.71"" 3GB RAM / 64GB ROM Android 14 - Black","₦ 108,210","₦ 700,000",3.7
New Age 50000 MAh FC50P POWER BANK FAST CHARGE + A FREE CHARGER,"₦ 64,699","₦ 93,000",4.1
Lenovo LP40 Bluetooth 5.0 Waterproof Earphone - White,"₦ 9,821","₦ 13,833",3.9
White S8 Smart Waterproof Watch for iOS Android,"₦ 11,831","₦ 22,860",3.8
"ARHANORY 6 ""ring Light Phone Stand 3 Color Fill Light Phone Holder","₦ 7,290","₦ 15,900",4.5
Timack F9-5 Fingerprint Touch Bluetooth Earphone Earbuds 2200mAH,"₦ 5,594","₦ 9,294",3.4
itel PowerLite 20000mAh +ICW-051U 5W Charger,"₦ 18,500","₦ 32,000",4.3
Strong P9 Wireless Bluetooth Stereo OverEar Foldable Headset,"₦ 9,060","₦ 19,060",4
itel 20000mAh 15W Type-C Output Fast Charging T162 Power Bank,"₦ 17,950","₦ 20,000",4.2
Agapeon Wireless Headphones P47 Over-Ear Stereo Earphones,"₦ 4,500","₦ 10,101",3.1
"C Idea 8 Inch Tablet, Google Android 12.0 Dual Cameras Sim 8GB RAM/256GB ROM Storage Long Battery Life Tablet For Adults Teenagers CM822 Black","₦ 85,000","₦ 90,000",4.7
Pro3 In-ear Wireless Sports Headphones Stereo Headphones,"₦ 6,890","₦ 12,400",3.7
2PCS Finger Covers Universal Breathable Ultra-thin Fingertips Sleeves Thumb Gloves For Mobile Game,"₦ 1,109","₦ 1,331",3.8
Zealot S46 Wireless Bluetooth Speaker Super Loud Waterproof,"₦ 27,740","₦ 52,710",3.8
Tripod Stand Selfie Stick  Phone Camera Live Streaming Stand Holder + Remote Control,"₦ 14,636","₦ 22,290",3.5
"Stereo Inductivv Bone Conduction Earphones,Wireless Headphones Lightweight Body Sports Headphones","₦ 9,200","₦ 14,428",3.8
Music Pioneer P47 Bluetooth5.0 Casque Stéréo Sans Fil HIFI écouteur,"₦ 4,366","₦ 8,900",4.1
Oraimo Riff 2 ENC True Wireless Earbuds With APP Control,"₦ 36,270","₦ 66,270",4.1
Phone Tripod Stand Selfie Sticks Multifunctional Wireless,"₦ 6,860","₦ 13,030",4.1
Smart Touch Control Wireless Bluetooth Compatible Headset Waterproof LED Display,"₦ 7,563","₦ 13,825",3.5
Neck Hanging Wireless Bluetooth Earphone Sports Earbuds,"₦ 4,490","₦ 7,845",3.8
"Poco C75 6.88"" 6GB RAM / 128GB ROM Android 14 - Black","₦ 155,320","₦ 700,000",4.5
Wireless Bluetooth Noise Cancelling Earbuds HiFi Stereo Headphones,"₦ 6,743","₦ 12,135",3.6
itel SONES TWS A01 Earbuds-Almond,"₦ 10,000","₦ 25,000",3.8
Ace Elec MAGSAFE 5000mAh 15W Wireless Charging -Magnetic Power Ban-k,"₦ 10,000","₦ 25,000",3.6
F9 Fingerprint Touch Bluetooth Earphone Headset 2200mAH,"₦ 4,700","₦ 8,843",3.9
Tripod Stand Selfie Stick Phone Camera Live Streaming Stand Holder,"₦ 22,012","₦ 30,999",4.2
Mini Lavalier Microphone Headset 3.5 Mm Jack,"₦ 2,992","₦ 4,827",3.9
C Idea 10.1 Inch Android Tablet PC 12 Dual Camera Sim 8GB RAM 512GB Bluetooth Fntastic Blue,"₦ 130,689","₦ 197,484",4
Infinix Smart Watch 1 1.69'' IP68 Waterproof For Android & IOS,"₦ 20,500","₦ 35,000",4.5
XIAOMI Redmi Buds 6 Lite - Black,"₦ 27,415","₦ 35,000",4.4
Oraimo SMART DURABLE & EFFICIENT FAST PHONE & POWER BANK CHARGER /  (HOT SALE) 0037,"₦ 3,990","₦ 7,500",4
Aluminum Travel Tripod For Camera Phone Mount Flexible Lightweight Tripod Light Stand Photography For Field Youtube Phone,"₦ 9,932","₦ 17,878",4.5
XIAOMI Redmi Buds 6 Active - Black,"₦ 24,395","₦ 30,000",4.4
"Transparent Back Clear Case For IPhone 13, 12, 11 Pro Max, Mini, Xs, X, Xr, Xs Max, 7, 8 Plus, Se 2020, 6s Plus, 6s, 6 ( Transparent)","₦ 3,200","₦ 5,000",4.7
For AirPods Pro Silicone Flip Cover Earphone Protective Case,"₦ 4,450","₦ 6,357",3.3
Kz EDX Pro In-Ear Stage Monitor Wired Headphone Black(No Mic),"₦ 13,380","₦ 24,090",4.6
