Name,Discount_price,Actual_price,Rating_stars
Hp ProBook 11 X360- Intel CELERON LAPTOPS - 128GB SSD-TOUCHSCREEN 4GB RAM Windows10 Pro +,"₦ 205,000","₦ 400,000",5
Hp Stream 11 Laptop- Intel Celeron -TOUCH SCREEN 128GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 200,000","₦ 325,000",4
Hp EliteBook 845 G8 - Ryzen 5 Pro 5650U/AMD 2.3 - 16GB RAM/512GB SSD WIN 11 PRO+BAG,"₦ 630,000","₦ 680,000",4.8
"DELL Latitude 3190, INTEL PENTIUM 128GB SSD 4GB WIN 10","₦ 200,000","₦ 250,000",2.7
Hp STREAM 11 LAPTOP- CELERON-64GB 4D 4GB RAM Windows 10 PRO+ & USB Light For Keyboard,"₦ 160,000","₦ 250,000",3.3
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO +USB Light For Keyboard,"₦ 170,000","₦ 340,000",2.5
"DELL Latitude 3180 Intel Celeron 4GB RAM, 128GB SSD Windows 10 + Keyboard Flash Light","₦ 200,000","₦ 250,000",3.8
DELL Latitude 5410 TOUCHSCREEN  Core I5 10th Gen -512GB SSD/16GB RAM Keyboard BACKLIT /WIN 11+ BAG,"₦ 550,000","₦ 650,000",4.8
Hp EliteBook 840 G6 Intel Core I5-12GB RAM/512GB SSD/Backlit Keyboard/FP Reader Windows 11 Pro + BAG,"₦ 490,000","₦ 800,000",No rating
Hp Stream 11 Laptop- Intel Celeron - 64GB SSD 4GB RAM Windows 10 PRO+ Mouse & USB Light For Keyboard,"₦ 190,000",No old_price,5
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 800,000",3
DELL Latitude 7400 512GB SSD/16GB RAM/ Intel Core I7 / BACKLIGHT KEYBOARD-WIN 11 PRO+ BAG,"₦ 650,000","₦ 980,000",5
Hp Notebook 15 Laptop Intel Pentium N200 Quad-Core 8GB RAM 128GB SSD 15.6-inch Windows 11 Red,"₦ 396,999","₦ 800,000",No rating
Hp EliteBook 840 G5 TOUCHSCREEN Intel Core I5-16GB RAM/512GB SSD/ Backlit Keyboard/Windows11Pro+BAG,"₦ 535,000","₦ 990,000",4
Asus Vivobook Go 15 Celeron E510MA-BR583W 15.6-inch 4GB 256GB SSD Win 11,"₦ 340,000",No old_price,4.5
"Hp CHROMEBOOK 11 G4, CELERON, 4GB RAM,16GB SSD + 32GB FLASH","₦ 120,000","₦ 230,000",2
Hp Stream 11 Pro G5 Touchscreen Intel Celeron 128GB SSD 4GB DDR4 RAM Windows 10 Pro + Bag,"₦ 205,000","₦ 250,000",No rating
"DELL G7630 GAMING 13TH GEN INTEL CORE I9 UP TO 5.4GHZ 16GB RAM 1TB SSD 16"" RTX 4060 (8GB) WINS 11","₦ 2,952,000","₦ 3,190,000",5
Hp ProBook 11 X360- TOUCH Intel Pentium 128GB 4GB RAM WIN10 Pro +,"₦ 195,000","₦ 265,000",5
Hp Elitebook 830 G7 Touch Screen Intel Core I7 512SSD/16GB RAM Win 11 Pro,"₦ 890,000","₦ 990,000",3.6
Hp Stream 11 Pro G4 Intel Celeron - TOUCHSCREEN- 1.1 Up To 2.2 Burst Frequency(4gb Ram 64gb SSD + 1TB One Storage) Education Edition Laptop Windows 10+ USB Light For Keyboard,"₦ 935,000",No old_price,5
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 32GB WINS 10,"₦ 140,000",No old_price,No rating
"Hp CHROMEBOOK 11 ,INTEL CELERON,4GB RAM,16GB SSD","₦ 135,000",No old_price,No rating
"DELL Latitude 7490 Intel Core I5, Keyboard Backlit, 8GB RAM, 256GB SSD Windows 11 + Free Mouse","₦ 380,000","₦ 450,000",No rating
Hp Pavilion 15 X360 12th Gen Intel Core I3 8GB RAM/512 SSD Win 11,"₦ 860,000","₦ 880,000",5
"DELL Latitude 3350 Intel Core I3 8GB RAM, 256GB SSD Windows 11 + Keyboard Flash Light","₦ 299,999","₦ 300,000",5
Hp ProBook 11 X360- TOUCH- 512GB SSD/4GB RAM-Intel CELERON QUAD CORE WIN10 Pro +Mouse &USB Light,"₦ 250,000","₦ 800,000",No rating
"DELL Latitude 3340, Intel Celeron, 500GB 8GB RAM Windows 10 Pro","₦ 350,000",No old_price,4.5
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 64GB WINS 10,"₦ 145,000",No old_price,No rating
DELL Latitude 5400 Touchscreen Intel Core I5-1TB SSD/16GB RAM Keyboard BACKLIT /WIN 11 PRO+ BAG,"₦ 530,000","₦ 750,000",No rating
Hp Chromebook 11 Celeron 4gb RAM 16gb Windows10+mouse,"₦ 130,000","₦ 144,000",No rating
